GraphSize,Connectivity,Drivers,Customers,Rides,Satisfaction,DriverWaitTime,RideDist,WeightAvg
1000,4.285682201385498,100,50.0,0.0,5.0,0.0,0.0,751.8097014925377
1000,3.546365737915039,200,50.0,0.0,5.0,0.0,0.0,752.0557746478876
1000,3.6495141983032227,300,50.0,0.0,5.0,0.0,0.0,756.5467980295574
1000,4.941534519195557,400,50.0,0.0,5.0,0.0,0.0,749.2055735056532
1000,3.7350945472717285,500,50.0,0.0,5.0,0.0,0.0,743.3819444444445
5000,3.8351542949676514,100,50.0,0.0,5.0,0.0,0.0,749.385906390076
5000,3.364621162414551,200,50.0,0.0,5.0,0.0,0.0,748.5469994058213
5000,3.7197747230529785,300,50.0,0.0,5.0,0.0,0.0,752.7369100096768
5000,4.1944427490234375,400,50.0,0.0,5.0,0.0,0.0,753.2378228958135
5000,3.466318130493164,500,50.0,0.0,5.0,0.0,0.0,751.8745098039201
10000,4.036767482757568,100,50.0,0.0,5.0,0.0,0.0,752.2067667310665
10000,3.370068073272705,200,50.0,0.0,5.0,0.0,0.0,753.523170948793
10000,4.622478485107422,300,50.0,0.0,5.0,0.0,0.0,746.4461798044479
10000,4.71660852432251,400,50.0,0.0,5.0,0.0,0.0,751.3389011361725
10000,4.302976608276367,500,50.0,0.0,5.0,0.0,0.0,746.625488008924
1000,4.0026631355285645,100,100.0,0.0,5.0,0.0,0.0,753.8764940239041
1000,4.3737006187438965,200,100.0,0.0,5.0,0.0,0.0,737.7978092195348
1000,4.629241943359375,300,100.0,0.0,5.0,0.0,0.0,759.4525862068966
1000,4.7354655265808105,400,100.0,0.0,5.0,0.0,0.0,745.8621416526132
1000,4.253891468048096,500,100.0,0.0,5.0,0.0,0.0,754.060534960112
5000,3.6271016597747803,100,100.0,0.0,5.0,0.0,0.0,744.5157094035966
5000,4.324863433837891,200,100.0,0.0,5.0,0.0,0.0,746.6900314407221
5000,3.529120922088623,300,100.0,0.0,5.0,0.0,0.0,753.3660056657234
5000,4.67396354675293,400,100.0,0.0,5.0,0.0,0.0,747.6871365035922
5000,3.805284023284912,500,100.0,0.0,5.0,0.0,0.0,753.1910265840072
10000,3.4870457649230957,100,100.0,0.0,5.0,0.0,0.0,745.44400481679
10000,3.1762523651123047,200,100.0,0.0,5.0,0.0,0.0,751.6064593301417
10000,4.06112813949585,300,100.0,0.0,5.0,0.0,0.0,745.9621350140333
10000,4.298355579376221,400,100.0,0.0,5.0,0.0,0.0,747.646369260829
10000,3.7300567626953125,500,100.0,0.0,5.0,0.0,0.0,751.9228583681802
1000,3.4006881713867188,100,150.0,0.0,5.0,0.0,0.0,751.2708578143355
1000,3.614819049835205,200,150.0,0.0,5.0,0.0,0.0,752.5201546107116
1000,3.9197263717651367,300,150.0,0.0,5.0,0.0,0.0,769.2072301425665
1000,3.305819511413574,400,150.0,0.0,5.0,0.0,0.0,760.073023536511
1000,3.6011719703674316,500,150.0,0.0,5.0,0.0,0.0,746.2344789356979
5000,4.062656402587891,100,150.0,0.0,5.0,0.0,0.0,751.09965568126
5000,4.557692050933838,200,150.0,0.0,5.0,0.0,0.0,749.979736842107
5000,3.422183036804199,300,150.0,0.0,5.0,0.0,0.0,748.9976632784196
5000,4.725261211395264,400,150.0,0.0,5.0,0.0,0.0,755.0597444359805
5000,3.7060818672180176,500,150.0,0.0,5.0,0.0,0.0,754.0148899438926
10000,3.8148601055145264,100,150.0,0.0,5.0,0.0,0.0,742.2094144781676
10000,3.5729832649230957,200,150.0,0.0,5.0,0.0,0.0,746.9776670771297
10000,3.718344211578369,300,150.0,0.0,5.0,0.0,0.0,754.0160258133918
10000,3.6033496856689453,400,150.0,0.0,5.0,0.0,0.0,742.0061591388287
10000,4.78026819229126,500,150.0,0.0,5.0,0.0,0.0,750.3201991048657
1000,3.764958143234253,100,200.0,0.0,5.0,0.0,0.0,756.385797562268
1000,3.616842031478882,200,200.0,0.0,5.0,0.0,0.0,729.1160220994475
1000,4.607421398162842,300,200.0,0.0,5.0,0.0,0.0,750.4174589455489
1000,4.96214485168457,400,200.0,0.0,5.0,0.0,0.0,751.3323954983928
1000,3.7635316848754883,500,200.0,0.0,5.0,0.0,0.0,752.7472118959108
5000,4.3669233322143555,100,200.0,0.0,5.0,0.0,0.0,752.3310748947088
5000,4.192710876464844,200,200.0,0.0,5.0,0.0,0.0,749.3475109670031
5000,4.584756851196289,300,200.0,0.0,5.0,0.0,0.0,753.244223559159
5000,4.121990203857422,400,200.0,0.0,5.0,0.0,0.0,750.9735234215907
5000,4.918410301208496,500,200.0,0.0,5.0,0.0,0.0,756.191416727631
10000,3.8191428184509277,100,200.0,0.0,5.0,0.0,0.0,749.1195999371604
10000,3.809234380722046,200,200.0,0.0,5.0,0.0,0.0,748.7009448818927
10000,4.364941596984863,300,200.0,0.0,5.0,0.0,0.0,747.5943927802446
10000,3.443272590637207,400,200.0,0.0,5.0,0.0,0.0,749.0603878759725
10000,3.5217537879943848,500,200.0,0.0,5.0,0.0,0.0,754.9482171246883
1000,3.4412031173706055,100,250.0,0.0,5.0,0.0,0.0,745.3524637681154
1000,3.0332937240600586,200,250.0,0.0,5.0,0.0,0.0,738.8239947264345
1000,4.5511603355407715,300,250.0,0.0,5.0,0.0,0.0,752.8952213941251
1000,4.472846984863281,400,250.0,0.0,5.0,0.0,0.0,748.5572893446265
1000,3.2366232872009277,500,250.0,0.0,5.0,0.0,0.0,736.837237977805
5000,4.34688663482666,100,250.0,0.0,5.0,0.0,0.0,753.9334988962459
5000,4.8021650314331055,200,250.0,0.0,5.0,0.0,0.0,750.9076154806477
5000,3.430217742919922,300,250.0,0.0,5.0,0.0,0.0,746.1428071811622
5000,3.376617908477783,400,250.0,0.0,5.0,0.0,0.0,751.1402013025461
5000,3.072962522506714,500,250.0,0.0,5.0,0.0,0.0,753.8894380853287
10000,3.5115652084350586,100,250.0,0.0,5.0,0.0,0.0,752.647912989009
10000,3.6215391159057617,200,250.0,0.0,5.0,0.0,0.0,749.2853119823286
10000,3.317960739135742,300,250.0,0.0,5.0,0.0,0.0,747.3951175406871
10000,4.0430731773376465,400,250.0,0.0,5.0,0.0,0.0,751.8634093269361
10000,4.754868030548096,500,250.0,0.0,5.0,0.0,0.0,748.437137330754
1000,4.048612594604492,100,300.0,0.0,5.0,0.0,0.0,760.597735105859
1000,4.484674453735352,200,300.0,0.0,5.0,0.0,0.0,750.9291759465475
1000,4.573129177093506,300,300.0,0.0,5.0,0.0,0.0,740.5800261665938
1000,3.8004393577575684,400,300.0,0.0,5.0,0.0,0.0,742.1307086614178
1000,3.9992563724517822,500,300.0,0.0,5.0,0.0,0.0,751.908183632735
5000,4.496808052062988,100,300.0,0.0,5.0,0.0,0.0,747.6410530060472
5000,4.897310733795166,200,300.0,0.0,5.0,0.0,0.0,752.2031020408168
5000,3.0226845741271973,300,300.0,0.0,5.0,0.0,0.0,740.9400555776093
5000,3.7265357971191406,400,300.0,0.0,5.0,0.0,0.0,747.518454935623
5000,3.330469846725464,500,300.0,0.0,5.0,0.0,0.0,745.2867435158519
10000,4.313999652862549,100,300.0,0.0,5.0,0.0,0.0,752.7372421784484
10000,4.031328201293945,200,300.0,0.0,5.0,0.0,0.0,746.5058035714316
10000,4.314881324768066,300,300.0,0.0,5.0,0.0,0.0,754.0267414376424
10000,4.416184425354004,400,300.0,0.0,5.0,0.0,0.0,746.737425868085
10000,3.013115406036377,500,300.0,0.0,5.0,0.0,0.0,751.8266958714968
1000,4.964062690734863,100,350.0,0.0,5.0,0.0,0.0,755.7372233400391
1000,4.0108537673950195,200,350.0,0.0,5.0,0.0,0.0,757.6572139303479
1000,4.949256420135498,300,350.0,0.0,5.0,0.0,0.0,774.7734784361152
1000,4.2812676429748535,400,350.0,0.0,5.0,0.0,0.0,745.7564042850488
1000,4.521772861480713,500,350.0,0.0,5.0,0.0,0.0,743.9116997792485
5000,4.59496545791626,100,350.0,0.0,5.0,0.0,0.0,751.4033576896354
5000,4.444076061248779,200,350.0,0.0,5.0,0.0,0.0,754.5425512774397
5000,4.572574138641357,300,350.0,0.0,5.0,0.0,0.0,746.6176856468138
5000,4.689857006072998,400,350.0,0.0,5.0,0.0,0.0,746.9950566777455
5000,3.2690505981445312,500,350.0,0.0,5.0,0.0,0.0,747.7832150721798
10000,3.647796630859375,100,350.0,0.0,5.0,0.0,0.0,749.0596458527481
10000,4.9434919357299805,200,350.0,0.0,5.0,0.0,0.0,747.7883347490155
10000,3.3925089836120605,300,350.0,0.0,5.0,0.0,0.0,744.8452107279701
10000,4.72320556640625,400,350.0,0.0,5.0,0.0,0.0,754.3422244802904
10000,4.13604736328125,500,350.0,0.0,5.0,0.0,0.0,753.2333913547957
1000,3.9631032943725586,100,400.0,0.0,5.0,0.0,0.0,745.1681772406846
1000,3.6485300064086914,200,400.0,0.0,5.0,0.0,0.0,755.2573932092001
1000,4.197679042816162,300,400.0,0.0,5.0,0.0,0.0,757.360437470281
1000,4.191049098968506,400,400.0,0.0,5.0,0.0,0.0,747.1903855306987
1000,4.173730373382568,500,400.0,0.0,5.0,0.0,0.0,749.5203057811755
5000,4.435049057006836,100,400.0,0.0,5.0,0.0,0.0,746.7352384386562
5000,3.7474188804626465,200,400.0,0.0,5.0,0.0,0.0,748.9180450325476
5000,3.626188278198242,300,400.0,0.0,5.0,0.0,0.0,756.456771063078
5000,3.2506237030029297,400,400.0,0.0,5.0,0.0,0.0,745.5477244772445
5000,3.331651210784912,500,400.0,0.0,5.0,0.0,0.0,747.8006002400972
10000,4.767909049987793,100,400.0,0.0,5.0,0.0,0.0,748.2935502809661
10000,4.792180061340332,200,400.0,0.0,5.0,0.0,0.0,748.365180024201
10000,3.5386781692504883,300,400.0,0.0,5.0,0.0,0.0,745.631498643763
10000,3.1257896423339844,400,400.0,0.0,5.0,0.0,0.0,749.0596251039595
10000,3.3390703201293945,500,400.0,0.0,5.0,0.0,0.0,750.9728094867332
